id,app_id,ccu,collected_at
8334,1100410,32,2026-05-24 17:36:20.358231
8335,1100600,960,2026-05-24 17:36:21.656444
8336,1100620,78,2026-05-24 17:36:22.974070
8337,1102130,9,2026-05-24 17:36:24.297703
8338,1102190,161,2026-05-24 17:36:25.520491
8339,1103210,7,2026-05-24 17:36:26.827501
8340,1103950,0,2026-05-24 17:36:28.155087
8341,1104280,114,2026-05-24 17:36:29.547397
8342,1104450,6,2026-05-24 17:36:30.935770
8343,1104640,0,2026-05-24 17:36:32.248136
8344,1105420,429,2026-05-24 17:36:33.462289
8345,1105510,189,2026-05-24 17:36:34.796168
8346,1105670,448,2026-05-24 17:36:36.103624
8347,1106750,0,2026-05-24 17:36:37.433334
8348,1106840,1235,2026-05-24 17:36:38.660892
8349,1108320,0,2026-05-24 17:36:39.986907
8350,1108370,19,2026-05-24 17:36:41.313327
8351,1108590,15,2026-05-24 17:36:42.548394
8352,1109570,2,2026-05-24 17:36:43.870884
8353,1110050,2,2026-05-24 17:36:45.097221
8354,1110910,49,2026-05-24 17:36:46.437472
8355,1111460,4,2026-05-24 17:36:47.769288
8356,1112400,10,2026-05-24 17:36:49.081041
8357,1113000,1182,2026-05-24 17:36:50.313553
8358,1113120,245,2026-05-24 17:36:51.564917
8359,1113560,362,2026-05-24 17:36:53.047500
8360,1114150,965,2026-05-24 17:36:54.274240
8361,1114220,11,2026-05-24 17:36:55.621722
8362,1114940,54,2026-05-24 17:36:56.865039
8363,1115690,35,2026-05-24 17:36:58.231450
8364,1116170,1,2026-05-24 17:36:59.559647
8365,1116960,22,2026-05-24 17:37:00.898021
8366,1118200,5599,2026-05-24 17:37:02.133175
8367,1118240,30,2026-05-24 17:37:03.453972
8368,1118310,756,2026-05-24 17:37:04.711782
8369,1118920,1,2026-05-24 17:37:06.086227
8370,1119730,1400,2026-05-24 17:37:07.389895
8371,1119980,19,2026-05-24 17:37:08.727017
8372,1120810,1,2026-05-24 17:37:10.044639
8373,1121640,182,2026-05-24 17:37:11.336125
8374,1121910,2,2026-05-24 17:37:12.624804
8375,1122050,0,2026-05-24 17:37:13.950132
8376,1122720,6,2026-05-24 17:37:15.281012
8377,1122750,0,2026-05-24 17:37:16.597439
8378,1123050,57,2026-05-24 17:37:17.943115
8379,1123770,68,2026-05-24 17:37:19.162144
8380,1124300,601,2026-05-24 17:37:20.403832
8381,1124660,1,2026-05-24 17:37:21.698076
8382,1126310,3,2026-05-24 17:37:23.022202
