id,app_id,owners_min,owners_max,average_playtime,median_playtime,peak_ccu,collected_at
1269,302270,200000,500000,0,0,0,2026-05-23 21:13:29.143446
1270,302510,2000000,5000000,0,0,83,2026-05-23 21:13:31.003082
1271,302590,500000,1000000,0,0,14,2026-05-23 21:13:32.925660
1272,302670,1000000,2000000,0,0,117,2026-05-23 21:13:34.759696
1273,302830,2000000,5000000,0,0,4,2026-05-23 21:13:36.805811
1274,303210,500000,1000000,0,0,7,2026-05-23 21:13:38.648860
1275,303390,2000000,5000000,0,0,2,2026-05-23 21:13:40.528775
1276,303610,500000,1000000,0,0,7,2026-05-23 21:13:42.393482
1277,304030,1000000,2000000,0,0,2,2026-05-23 21:13:44.249004
1278,304050,10000000,20000000,0,0,758,2026-05-23 21:13:46.090477
1279,304240,1000000,2000000,0,0,186,2026-05-23 21:13:47.926836
1280,304390,5000000,10000000,0,0,2146,2026-05-23 21:13:49.768387
1281,304430,2000000,5000000,0,0,129,2026-05-23 21:13:51.633321
1282,304530,500000,1000000,0,0,3,2026-05-23 21:13:53.481224
1283,304650,1000000,2000000,0,0,45,2026-05-23 21:13:55.324428
1284,304670,1000000,2000000,0,0,0,2026-05-23 21:13:57.285483
1285,304730,200000,500000,0,0,9,2026-05-23 21:13:59.123526
1286,304930,50000000,100000000,0,0,10408,2026-05-23 21:14:00.975461
1287,305050,500000,1000000,0,0,0,2026-05-23 21:14:02.886983
1288,305260,500000,1000000,0,0,19,2026-05-23 21:14:04.730578
1289,305620,2000000,5000000,0,0,2575,2026-05-23 21:14:06.729062
1290,306020,200000,500000,0,0,153,2026-05-23 21:14:08.783667
1291,306040,200000,500000,0,0,0,2026-05-23 21:14:10.627238
1292,306130,5000000,10000000,0,0,15987,2026-05-23 21:14:12.476240
1293,306410,200000,500000,0,0,4,2026-05-23 21:14:14.352061
1294,306660,200000,500000,0,0,11,2026-05-23 21:14:16.255283
1295,306760,200000,500000,0,0,5,2026-05-23 21:14:18.167267
1296,307110,500000,1000000,0,0,14,2026-05-23 21:14:20.005509
1297,307230,200000,500000,0,0,0,2026-05-23 21:14:21.909507
1298,307290,500000,1000000,0,0,5,2026-05-23 21:14:23.962044
1299,307670,200000,500000,0,0,12,2026-05-23 21:14:25.699457
1300,307690,2000000,5000000,0,0,524,2026-05-23 21:14:27.548494
1301,307780,2000000,5000000,0,0,426,2026-05-23 21:14:29.387757
1302,307880,200000,500000,0,0,2,2026-05-23 21:14:31.229760
1303,307960,200000,500000,0,0,179,2026-05-23 21:14:33.064237
1304,308000,200000,500000,0,0,0,2026-05-23 21:14:35.036700
1305,308040,2000000,5000000,0,0,1,2026-05-23 21:14:36.879185
1306,308060,200000,500000,0,0,1,2026-05-23 21:14:38.715239
1307,310060,200000,500000,0,0,12,2026-05-23 21:14:40.566703
1308,310080,200000,500000,0,0,6,2026-05-23 21:14:42.403452
1309,310370,1000000,2000000,0,0,3,2026-05-23 21:14:44.245363
1310,310510,200000,500000,0,0,11,2026-05-23 21:14:46.121455
1311,310560,2000000,5000000,0,0,84,2026-05-23 21:14:47.952549
1312,310950,2000000,5000000,0,0,170,2026-05-23 21:14:49.829251
1313,311120,200000,500000,0,0,0,2026-05-23 21:14:51.675947
1314,311140,200000,500000,0,0,0,2026-05-23 21:14:53.571559
1315,311210,5000000,10000000,0,0,5414,2026-05-23 21:14:55.418274
1316,311240,1000000,2000000,0,0,21,2026-05-23 21:14:57.252066
1317,311260,500000,1000000,0,0,58,2026-05-23 21:14:59.182774
1318,311290,500000,1000000,0,0,12,2026-05-23 21:15:01.097649
1319,311310,200000,500000,0,0,550,2026-05-23 21:15:03.038080
1320,311340,1000000,2000000,0,0,47,2026-05-23 21:15:04.882148
1321,311560,1000000,2000000,0,0,155,2026-05-23 21:15:06.734682
1322,311690,2000000,5000000,0,0,1165,2026-05-23 21:15:08.594110
1323,311730,500000,1000000,0,0,36,2026-05-23 21:15:10.433070
1324,311770,200000,500000,0,0,51,2026-05-23 21:15:12.473817
1325,311860,1000000,2000000,0,0,2,2026-05-23 21:15:14.349345
1326,312150,200000,500000,0,0,0,2026-05-23 21:15:16.236930
1327,312280,500000,1000000,0,0,15,2026-05-23 21:15:18.073244
1328,312450,200000,500000,0,0,167,2026-05-23 21:15:19.916585
1329,312520,1000000,2000000,0,0,836,2026-05-23 21:15:21.833746
1330,312530,2000000,5000000,0,0,112,2026-05-23 21:15:23.674823
